# step       rmse_trn    rmse_e_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  23100      1.45e+00      5.74e-03      4.86e-02    8.9e-04
  23200      2.02e+00      2.10e-02      6.75e-02    8.9e-04
  23300      1.13e+00      7.22e-03      3.78e-02    8.9e-04
  23400      1.31e+00      1.90e-02      4.36e-02    8.9e-04
  23500      2.17e+00      7.23e-03      7.28e-02    8.9e-04
  23600      1.77e+00      3.16e-02      5.88e-02    8.9e-04
  23700      1.60e+00      1.05e-02      5.34e-02    8.9e-04
  23800      1.63e+00      6.27e-03      5.45e-02    8.9e-04
  23900      1.76e+00      1.90e-02      5.87e-02    8.9e-04
  24000      1.23e+00      1.73e-02      4.10e-02    8.9e-04
  24100      1.48e+00      1.35e-03      4.97e-02    8.9e-04
  24200      1.41e+00      6.14e-03      4.70e-02    8.9e-04
  24300      1.12e+00      2.56e-02      3.71e-02    8.9e-04
  24400      1.40e+00      2.68e-02      4.65e-02    8.9e-04
  24500      1.41e+00      8.37e-03      4.71e-02    8.9e-04
  24600      1.44e+00      1.80e-02      4.80e-02    8.9e-04
  24700      2.18e+00      1.04e-02      7.28e-02    8.9e-04
  24800      1.46e+00      6.11e-04      4.88e-02    8.9e-04
  24900      1.56e+00      1.48e-02      5.23e-02    8.9e-04
  25000      9.91e-01      1.28e-02      3.35e-02    8.7e-04
  25100      2.26e+00      1.39e-02      7.67e-02    8.7e-04
  25200      1.63e+00      3.04e-02      5.49e-02    8.7e-04
  25300      1.32e+00      5.09e-03      4.49e-02    8.7e-04
  25400      1.27e+00      2.41e-03      4.30e-02    8.7e-04
  25500      1.70e+00      1.86e-02      5.76e-02    8.7e-04
  25600      1.05e+00      1.62e-02      3.54e-02    8.7e-04
  25700      1.43e+00      1.00e-02      4.87e-02    8.7e-04
  25800      1.22e+00      8.56e-03      4.15e-02    8.7e-04
  25900      2.29e+00      6.61e-03      7.79e-02    8.7e-04
  26000      1.51e+00      2.34e-02      5.10e-02    8.7e-04
  26100      1.23e+00      1.24e-02      4.15e-02    8.7e-04
  26200      1.30e+00      1.16e-02      4.41e-02    8.7e-04
  26300      1.64e+00      2.12e-02      5.54e-02    8.7e-04
  26400      1.68e+00      2.90e-02      5.66e-02    8.7e-04
  26500      1.29e+00      2.12e-02      4.35e-02    8.7e-04
  26600      1.15e+00      9.51e-03      3.90e-02    8.7e-04
  26700      1.67e+00      3.06e-02      5.62e-02    8.7e-04
  26800      1.52e+00      5.43e-03      5.16e-02    8.7e-04
  26900      1.54e+00      7.47e-03      5.24e-02    8.7e-04
  27000      1.34e+00      1.44e-03      4.56e-02    8.7e-04
  27100      1.27e+00      3.94e-02      4.21e-02    8.7e-04
  27200      1.05e+00      8.39e-04      3.56e-02    8.7e-04
  27300      1.46e+00      3.57e-03      4.95e-02    8.7e-04
  27400      1.48e+00      3.41e-03      5.04e-02    8.7e-04
  27500      1.16e+00      2.30e-02      3.91e-02    8.7e-04
  27600      1.14e+00      6.86e-03      3.87e-02    8.7e-04
  27700      1.18e+00      1.19e-03      4.01e-02    8.7e-04
  27800      1.15e+00      1.25e-02      3.91e-02    8.7e-04
  27900      1.58e+00      3.81e-03      5.37e-02    8.7e-04
  28000      1.85e+00      4.70e-03      6.29e-02    8.7e-04
  28100      1.51e+00      6.67e-03      5.13e-02    8.7e-04
  28200      1.30e+00      8.76e-03      4.41e-02    8.7e-04
  28300      1.03e+00      1.06e-02      3.48e-02    8.7e-04
  28400      1.08e+00      1.40e-03      3.68e-02    8.7e-04
  28500      1.36e+00      7.02e-03      4.63e-02    8.7e-04
  28600      1.01e+00      2.02e-03      3.44e-02    8.7e-04
  28700      1.35e+00      4.76e-03      4.59e-02    8.7e-04
  28800      1.13e+00      3.22e-03      3.83e-02    8.7e-04
  28900      1.28e+00      9.90e-03      4.34e-02    8.7e-04
  29000      1.56e+00      7.33e-03      5.30e-02    8.7e-04
  29100      1.18e+00      4.33e-03      4.01e-02    8.7e-04
  29200      2.45e+00      4.66e-03      8.34e-02    8.7e-04
  29300      1.23e+00      1.21e-02      4.17e-02    8.7e-04
  29400      1.34e+00      1.52e-02      4.53e-02    8.7e-04
  29500      1.49e+00      1.38e-02      5.06e-02    8.7e-04
  29600      1.01e+00      1.30e-02      3.40e-02    8.7e-04
  29700      1.22e+00      1.90e-03      4.13e-02    8.7e-04
  29800      1.22e+00      2.74e-03      4.16e-02    8.7e-04
  29900      1.56e+00      4.69e-03      5.31e-02    8.7e-04
  30000      2.02e+00      9.69e-03      6.94e-02    8.4e-04
  30100      1.26e+00      8.20e-03      4.33e-02    8.4e-04
  30200      1.38e+00      6.46e-03      4.74e-02    8.4e-04
  30300      1.67e+00      2.48e-02      5.73e-02    8.4e-04
  30400      1.05e+00      8.11e-03      3.60e-02    8.4e-04
  30500      1.14e+00      1.02e-02      3.90e-02    8.4e-04
  30600      1.31e+00      1.42e-02      4.48e-02    8.4e-04
  30700      1.32e+00      1.72e-02      4.52e-02    8.4e-04
  30800      1.26e+00      9.56e-03      4.32e-02    8.4e-04
  30900      1.06e+00      1.20e-02      3.63e-02    8.4e-04
  31000      1.76e+00      1.10e-02      6.07e-02    8.4e-04
  31100      9.66e-01      2.40e-04      3.33e-02    8.4e-04
  31200      1.42e+00      1.30e-02      4.87e-02    8.4e-04
  31300      1.04e+00      5.01e-03      3.57e-02    8.4e-04
  31400      1.58e+00      5.06e-03      5.43e-02    8.4e-04
  31500      1.28e+00      6.99e-03      4.40e-02    8.4e-04
  31600      1.32e+00      5.74e-04      4.55e-02    8.4e-04
  31700      1.36e+00      1.51e-02      4.68e-02    8.4e-04
  31800      1.64e+00      1.78e-02      5.63e-02    8.4e-04
  31900      1.45e+00      1.04e-02      5.00e-02    8.4e-04
  32000      1.08e+00      1.10e-03      3.71e-02    8.4e-04
  32100      1.24e+00      3.08e-03      4.27e-02    8.4e-04
  32200      1.09e+00      2.42e-02      3.70e-02    8.4e-04
  32300      1.56e+00      1.54e-02      5.36e-02    8.4e-04
  32400      2.15e+00      3.71e-02      7.34e-02    8.4e-04
  32500      1.36e+00      1.27e-02      4.68e-02    8.4e-04
  32600      1.24e+00      1.05e-02      4.26e-02    8.4e-04
  32700      1.18e+00      7.69e-03      4.08e-02    8.4e-04
  32800      1.10e+00      1.61e-03      3.80e-02    8.4e-04
  32900      1.36e+00      7.98e-04      4.67e-02    8.4e-04
  33000      1.54e+00      1.18e-02      5.30e-02    8.4e-04
  33100      1.30e+00      5.64e-03      4.48e-02    8.4e-04
  33200      1.21e+00      5.61e-03      4.18e-02    8.4e-04
  33300      1.55e+00      1.70e-02      5.32e-02    8.4e-04
  33400      1.05e+00      2.01e-02      3.59e-02    8.4e-04
  33500      1.35e+00      1.96e-03      4.67e-02    8.4e-04
  33600      9.97e-01      1.67e-02      3.41e-02    8.4e-04
  33700      1.05e+00      6.37e-03      3.61e-02    8.4e-04
  33800      1.40e+00      1.86e-03      4.84e-02    8.4e-04
  33900      1.25e+00      5.72e-03      4.29e-02    8.4e-04
  34000      1.11e+00      4.31e-03      3.83e-02    8.4e-04
  34100      1.39e+00      1.15e-02      4.79e-02    8.4e-04
  34200      1.10e+00      3.14e-03      3.80e-02    8.4e-04
  34300      9.19e-01      1.24e-02      3.15e-02    8.4e-04
  34400      1.10e+00      8.14e-04      3.78e-02    8.4e-04
  34500      1.13e+00      1.09e-02      3.88e-02    8.4e-04
  34600      9.87e-01      6.33e-03      3.40e-02    8.4e-04
  34700      1.18e+00      8.58e-03      4.08e-02    8.4e-04
  34800      1.15e+00      2.54e-03      3.97e-02    8.4e-04
  34900      1.39e+00      1.38e-02      4.77e-02    8.4e-04
  35000      9.18e-01      3.77e-03      3.21e-02    8.2e-04
  35100      9.67e-01      1.60e-02      3.35e-02    8.2e-04
  35200      1.11e+00      6.83e-03      3.88e-02    8.2e-04
  35300      1.18e+00      6.02e-03      4.12e-02    8.2e-04
  35400      1.13e+00      4.81e-03      3.96e-02    8.2e-04
  35500      1.13e+00      9.84e-03      3.95e-02    8.2e-04
  35600      1.89e+00      6.75e-03      6.62e-02    8.2e-04
  35700      1.41e+00      1.81e-02      4.90e-02    8.2e-04
  35800      1.03e+00      3.85e-03      3.61e-02    8.2e-04
  35900      1.69e+00      1.93e-03      5.92e-02    8.2e-04
  36000      1.21e+00      3.16e-03      4.23e-02    8.2e-04
  36100      1.15e+00      4.26e-03      4.03e-02    8.2e-04
  36200      1.24e+00      3.31e-03      4.32e-02    8.2e-04
  36300      9.41e-01      1.88e-02      3.24e-02    8.2e-04
  36400      9.99e-01      9.27e-03      3.48e-02    8.2e-04
  36500      1.59e+00      2.53e-02      5.49e-02    8.2e-04
  36600      1.46e+00      5.76e-03      5.11e-02    8.2e-04
  36700      1.11e+00      1.27e-03      3.90e-02    8.2e-04
  36800      1.07e+00      7.61e-03      3.73e-02    8.2e-04
  36900      1.33e+00      1.34e-02      4.62e-02    8.2e-04
  37000      1.09e+00      2.11e-03      3.82e-02    8.2e-04
  37100      1.07e+00      3.20e-03      3.73e-02    8.2e-04
  37200      9.81e-01      8.92e-03      3.42e-02    8.2e-04
  37300      1.11e+00      1.14e-02      3.86e-02    8.2e-04
  37400      1.45e+00      2.44e-03      5.07e-02    8.2e-04
