# step       rmse_trn   rmse_gl_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  53800      1.20e-01      8.66e-03    7.5e-04
  53900      1.87e-01      1.35e-02    7.5e-04
  54000      1.11e-01      8.00e-03    7.5e-04
  54100      6.63e-02      4.78e-03    7.5e-04
  54200      1.18e-01      8.52e-03    7.5e-04
  54300      7.36e-02      5.31e-03    7.5e-04
  54400      1.08e-01      7.77e-03    7.5e-04
  54500      1.17e-01      8.45e-03    7.5e-04
  54600      1.28e-01      9.27e-03    7.5e-04
  54700      1.02e-01      7.35e-03    7.5e-04
  54800      9.33e-02      6.73e-03    7.5e-04
  54900      1.60e-01      1.15e-02    7.5e-04
  55000      4.52e-02      3.26e-03    7.3e-04
  55100      9.14e-02      6.60e-03    7.3e-04
  55200      4.18e-02      3.02e-03    7.3e-04
  55300      1.21e-01      8.72e-03    7.3e-04
